WARNING: iteration count mismatch: baseline=3417, grasp=2769. Showing min(2769).
=== Warp 2, Baseline vs GRASP (2769 iterations) ===

iter | base_idx_cyc |     base_idx_L1 | base_data_cyc |         base_data_L1 | grasp_idx_cyc |    grasp_idx_L1 | grasp_data_cyc |        grasp_data_L1 | speedup
----------------------------------------------------------------------------------------------------------------------------------------------------------------
   0 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   1 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   2 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   3 |       541455 |     [4L] 4xMISS |        541849 | [32L] 25xHIT_RES,7xMISS |        536541 |     [4L] 4xMISS |         536825 | [32L] 25xHIT_RES,7xMISS |   2.55x
   4 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   5 |       543886 |     [2L] 2xMISS |             0 |                  N/A |        537661 |     [2L] 2xMISS |              0 |                  N/A |     N/A
   6 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   7 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   8 |       543887 |     [3L] 3xMISS |             0 |                  N/A |        537662 |     [3L] 3xMISS |              0 |                  N/A |     N/A
   9 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  10 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  11 |       543888 |     [3L] 3xMISS |             0 |                  N/A |        537663 |     [3L] 3xMISS |              0 |                  N/A |     N/A
  12 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  13 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  14 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  15 |       543889 |     [4L] 4xMISS |             0 |                  N/A |        537664 |     [4L] 4xMISS |              0 |                  N/A |     N/A
  16 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  17 |       543890 |     [2L] 2xMISS |             0 |                  N/A |        537665 |     [2L] 2xMISS |              0 |                  N/A |     N/A
  18 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  19 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  20 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  21 |       543891 |     [4L] 4xMISS |             0 |                  N/A |        537666 |     [4L] 4xMISS |              0 |                  N/A |     N/A
  22 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  23 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  24 |       543892 |     [3L] 3xMISS |             0 |                  N/A |        537667 |     [3L] 3xMISS |              0 |                  N/A |     N/A
  25 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  26 |       543893 | [2L] 1xMISS,1xRFAIL |             0 |                  N/A |        537668 | [2L] 1xMISS,1xRFAIL |              0 |                  N/A |     N/A
  27 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  28 |       543894 | [2L] 1xMISS,1xRFAIL |             0 |                  N/A |        537669 | [2L] 1xMISS,1xRFAIL |              0 |                  N/A |     N/A
  29 |       543895 |     [1L] 1xMISS |             0 |                  N/A |        537670 |     [1L] 1xMISS |              0 |                  N/A |     N/A
  30 |       543896 |     [1L] 1xMISS |        546744 | [24L] 21xMISS,2xHIT,1xHIT_RES |        537671 |     [1L] 1xMISS |         538266 | [24L] 22xMISS,2xHIT_RES |   4.08x
  31 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  32 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  33 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  34 |       549586 | [4L] 3xHIT,1xMISS |             0 |                  N/A |        539935 | [4L] 3xHIT,1xMISS |              0 |                  N/A |     N/A
  35 |       549587 |     [1L] 1xMISS |             0 |                  N/A |        539936 |     [1L] 1xMISS |              0 |                  N/A |     N/A
  36 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  37 |       549588 |      [2L] 2xHIT |             0 |                  N/A |        539937 |      [2L] 2xHIT |              0 |                  N/A |     N/A
  38 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  39 |       549589 | [2L] 1xMISS,1xHIT |             0 |                  N/A |        539938 | [2L] 1xHIT_RES,1xHIT |              0 |                  N/A |     N/A
  40 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  41 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  42 |       549590 |      [3L] 3xHIT |             0 |                  N/A |        539939 |      [3L] 3xHIT |              0 |                  N/A |     N/A
  43 |       549591 |     [1L] 1xMISS |             0 |                  N/A |        539940 |  [1L] 1xHIT_RES |              0 |                  N/A |     N/A
  44 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  45 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  46 |       549592 |      [3L] 3xHIT |             0 |                  N/A |        539941 |      [3L] 3xHIT |              0 |                  N/A |     N/A
  47 |       549593 |      [1L] 1xHIT |             0 |                  N/A |        539942 |      [1L] 1xHIT |              0 |                  N/A |     N/A
  48 |       549594 |     [1L] 1xMISS |        550214 |   [16L] 9xMISS,7xHIT |        539943 |  [1L] 1xHIT_RES |         540480 | [16L] 9xMISS,5xHIT,2xHIT_RES |   1.39x
  49 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  50 |       551617 |      [2L] 2xHIT |             0 |                  N/A |        541567 |      [2L] 2xHIT |              0 |                  N/A |     N/A
  51 |       551618 |      [1L] 1xHIT |             0 |                  N/A |        541568 |      [1L] 1xHIT |              0 |                  N/A |     N/A
  52 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  53 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  54 |       551619 | [3L] 2xHIT,1xMISS |             0 |                  N/A |        541569 | [3L] 2xHIT,1xHIT_RES |              0 |                  N/A |     N/A
