=== Warp 1, IMA region (2336 iterations) ===

iter | idx_cycle |               idx_L1 | data_cycle |                   data_L1 |                                 grasp_summary | latency
------------------------------------------------------------------------------------------------------------------------------------------
   0 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   1 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   2 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   3 |    536539 |          [4L] 4xMISS |     536796 |   [32L] 25xHIT_RES,7xMISS |                                    DEMAND_Cx4 |     769
   4 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   5 |    537401 |          [2L] 2xMISS |          0 |                       N/A |                                    DEMAND_Cx2 |     N/A
   6 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   7 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   8 |    537402 |          [3L] 3xMISS |          0 |                       N/A |                                    DEMAND_Cx3 |     N/A
   9 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  10 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  11 |    537403 |          [3L] 3xMISS |          0 |                       N/A |                                    DEMAND_Cx3 |     N/A
  12 |    537404 |          [1L] 1xMISS |          0 |                       N/A |                                      DEMAND_C |     N/A
  13 |    537405 |          [1L] 1xMISS |          0 |                       N/A |                                      DEMAND_C |     N/A
  14 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  15 |    537406 |          [2L] 2xMISS |          0 |                       N/A |                                    DEMAND_Cx2 |     N/A
  16 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  17 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  18 |    537407 |          [3L] 3xMISS |          0 |                       N/A |                                    DEMAND_Cx3 |     N/A
  19 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  20 |    537408 |          [2L] 2xMISS |          0 |                       N/A |                                    DEMAND_Cx2 |     N/A
  21 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  22 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  23 |    537409 |          [3L] 3xMISS |          0 |                       N/A |                                    DEMAND_Cx3 |     N/A
  24 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  25 |    537410 |          [2L] 2xMISS |          0 |                       N/A |                                    DEMAND_Cx2 |     N/A
  26 |    537411 |          [1L] 1xMISS |     538221 |             [21L] 21xMISS |                                      DEMAND_C |    1423
  27 |    539926 |           [1L] 1xHIT |          0 |                       N/A |                            IDX_ENQx17; CT_HIT |     N/A
  28 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  29 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  30 |    539927 |           [3L] 3xHIT |          0 |                       N/A |                  IDX_INJx3; L1_HITx2; L1_MISS |     N/A
  31 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  32 |    539928 |           [2L] 2xHIT |          0 |                       N/A |        IDX_INJx4; L1_HITx4; FILL_Dx2; DAT_ENQ |     N/A
  33 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  34 |    539929 | [2L] 1xHIT_RES,1xHIT |          0 |                       N/A | FILL_Dx4; DAT_ENQx4; IDX_INJx4; L1_MISSx2; L1_HITx2 |     N/A
  35 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  36 |    539930 | [2L] 1xHIT_RES,1xHIT |          0 |                       N/A | IDX_INJx4; FILL_Dx2; DAT_ENQx2; L1_HITx2; L1_MISSx2 |     N/A
  37 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  38 |    539931 |           [2L] 2xHIT |          0 |                       N/A | FILL_Dx2; IDX_INJx2; DAT_INJx2; L1_HITx2; L1_MISSx2; DAT_ENQ |     N/A
  39 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  40 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  41 |    539932 |           [3L] 3xHIT |          0 |                       N/A |     DAT_INJx4; L1_MISSx4; FILL_Dx2; DAT_ENQx2 |     N/A
  42 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  43 |    539933 |           [2L] 2xHIT |     540405 | [17L] 10xMISS,4xHIT,3xHIT_RES |     DAT_INJx7; L1_MISSx7; FILL_Dx5; DAT_ENQx3 |     947
  44 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  45 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  46 |    541711 |           [3L] 3xHIT |          0 |                       N/A |                             IDX_ENQx6; CT_HIT |     N/A
  47 |    541712 |           [1L] 1xHIT |          0 |                       N/A |                  IDX_INJx4; L1_HITx3; L1_MISS |     N/A
  48 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  49 |    541713 |           [2L] 2xHIT |     541758 |                [6L] 6xHIT | FILL_Dx6; DAT_ENQx6; DAT_INJx6; L1_MISSx5; L1_HITx3; IDX_INJx2; CD |      48
  50 |    542407 |           [1L] 1xHIT |          0 |                       N/A |                                      DEMAND_C |     N/A
  51 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  52 |    542408 |           [2L] 2xHIT |          0 |                       N/A |                                    DEMAND_Cx2 |     N/A
  53 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  54 |    542409 |    [2L] 1xHIT,1xMISS |          0 |                       N/A |                                    DEMAND_Cx2 |     N/A
  55 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  56 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  57 |    542410 |    [3L] 2xMISS,1xHIT |          0 |                       N/A |                                    DEMAND_Cx3 |     N/A
  58 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  59 |    542411 |    [2L] 1xMISS,1xHIT |          0 |                       N/A |                                    DEMAND_Cx2 |     N/A
  60 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  61 |    542412 |           [2L] 2xHIT |          0 |                       N/A |                                    DEMAND_Cx2 |     N/A
  62 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  63 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  64 |    542413 |    [3L] 2xHIT,1xMISS |          0 |                       N/A |                                    DEMAND_Cx3 |     N/A
  65 |    542414 |           [1L] 1xHIT |          0 |                       N/A |                                      DEMAND_C |     N/A
  66 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  67 |    542415 |    [2L] 1xHIT,1xMISS |          0 |                       N/A |                                    DEMAND_Cx2 |     N/A
  68 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  69 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  70 |    542416 |    [3L] 2xHIT,1xMISS |          0 |                       N/A |                                    DEMAND_Cx3 |     N/A
  71 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  72 |    542417 |          [2L] 2xMISS |          0 |                       N/A |                                    DEMAND_Cx2 |     N/A
