WARNING: iteration count mismatch: baseline=250, grasp=212. Showing min(212).
=== Warp 0, Baseline vs GRASP (212 iterations) ===

iter | base_idx_cyc |     base_idx_L1 | base_data_cyc |         base_data_L1 | grasp_idx_cyc |    grasp_idx_L1 | grasp_data_cyc |        grasp_data_L1 | speedup
----------------------------------------------------------------------------------------------------------------------------------------------------------------
   0 |        12594 |      [1L] 1xHIT |         13084 |          [1L] 1xMISS |         12594 |      [1L] 1xHIT |          13084 |          [1L] 1xMISS |   1.00x
   1 |        18465 |      [1L] 1xHIT |         18934 |          [1L] 1xMISS |         18465 |      [1L] 1xHIT |          18934 |          [1L] 1xMISS |   1.00x
   2 |        23209 |      [1L] 1xHIT |         23254 |          [1L] 1xMISS |         23209 |      [1L] 1xHIT |          23254 |          [1L] 1xMISS |   1.00x
   3 |        27488 |      [1L] 1xHIT |         27999 |          [1L] 1xMISS |         27488 |      [1L] 1xHIT |          27999 |          [1L] 1xMISS |   1.00x
   4 |        32295 |      [1L] 1xHIT |         32340 |          [1L] 1xMISS |         32295 |      [1L] 1xHIT |          32340 |          [1L] 1xMISS |   1.00x
   5 |        36637 |      [1L] 1xHIT |         37147 |          [1L] 1xMISS |         36637 |      [1L] 1xHIT |          37147 |          [1L] 1xMISS |   1.00x
   6 |        41483 |      [1L] 1xHIT |         41528 |          [1L] 1xMISS |         41483 |      [1L] 1xHIT |          41528 |          [1L] 1xMISS |   1.00x
   7 |        45823 |      [1L] 1xHIT |         46333 |          [1L] 1xMISS |         45823 |      [1L] 1xHIT |          46333 |          [1L] 1xMISS |   1.00x
   8 |        50629 |      [1L] 1xHIT |         50674 |          [1L] 1xMISS |         50629 |      [1L] 1xHIT |          50674 |          [1L] 1xMISS |   1.00x
   9 |        55011 |      [1L] 1xHIT |         55522 |          [1L] 1xMISS |         55011 |      [1L] 1xHIT |          55522 |          [1L] 1xMISS |   1.00x
  10 |        59861 |      [1L] 1xHIT |         59906 |          [1L] 1xMISS |         59861 |      [1L] 1xHIT |          59906 |          [1L] 1xMISS |   1.00x
  11 |        64162 |      [1L] 1xHIT |         64632 |          [1L] 1xMISS |         64162 |      [1L] 1xHIT |          64632 |          [1L] 1xMISS |   1.00x
  12 |        68930 |      [1L] 1xHIT |         68975 |          [1L] 1xMISS |         68930 |      [1L] 1xHIT |          68975 |          [1L] 1xMISS |   1.00x
  13 |        73312 |      [1L] 1xHIT |         73822 |          [1L] 1xMISS |         73312 |      [1L] 1xHIT |          73822 |          [1L] 1xMISS |   1.00x
  14 |        78159 |      [1L] 1xHIT |         78204 |          [1L] 1xMISS |         78159 |      [1L] 1xHIT |          78204 |          [1L] 1xMISS |   1.00x
  15 |        82459 |      [1L] 1xHIT |         82928 |          [1L] 1xMISS |         82459 |      [1L] 1xHIT |          82928 |          [1L] 1xMISS |   1.00x
  16 |        87264 |      [1L] 1xHIT |         87309 |          [1L] 1xMISS |         87264 |      [1L] 1xHIT |          87309 |          [1L] 1xMISS |   1.00x
  17 |        91604 |      [1L] 1xHIT |         92074 |          [1L] 1xMISS |         91604 |      [1L] 1xHIT |          92074 |          [1L] 1xMISS |   1.00x
  18 |        96411 |      [1L] 1xHIT |         96456 |          [1L] 1xMISS |         96411 |      [1L] 1xHIT |          96456 |          [1L] 1xMISS |   1.00x
  19 |       100752 |      [1L] 1xHIT |        101222 |          [1L] 1xMISS |        100752 |      [1L] 1xHIT |         101222 |          [1L] 1xMISS |   1.00x
  20 |       105562 |      [1L] 1xHIT |        105607 |          [1L] 1xMISS |        105562 |      [1L] 1xHIT |         105607 |          [1L] 1xMISS |   1.00x
  21 |       109903 |      [1L] 1xHIT |        110414 |          [1L] 1xMISS |        109903 |      [1L] 1xHIT |         110414 |          [1L] 1xMISS |   1.00x
