=== Warp 0, IMA region (212 iterations) ===

iter | idx_cycle |               idx_L1 | data_cycle |                   data_L1 |                                 grasp_summary | latency
------------------------------------------------------------------------------------------------------------------------------------------
   0 |     12594 |           [1L] 1xHIT |      13084 |               [1L] 1xMISS |                                             - |    5276
   1 |     18465 |           [1L] 1xHIT |      18934 |               [1L] 1xMISS |                                             - |    4149
   2 |     23209 |           [1L] 1xHIT |      23254 |               [1L] 1xMISS |                                             - |    3684
   3 |     27488 |           [1L] 1xHIT |      27999 |               [1L] 1xMISS |                                             - |    4212
   4 |     32295 |           [1L] 1xHIT |      32340 |               [1L] 1xMISS |                                             - |    3747
   5 |     36637 |           [1L] 1xHIT |      37147 |               [1L] 1xMISS |                                             - |    4251
   6 |     41483 |           [1L] 1xHIT |      41528 |               [1L] 1xMISS |                                             - |    3745
   7 |     45823 |           [1L] 1xHIT |      46333 |               [1L] 1xMISS |                                             - |    4211
   8 |     50629 |           [1L] 1xHIT |      50674 |               [1L] 1xMISS |                                             - |    3787
   9 |     55011 |           [1L] 1xHIT |      55522 |               [1L] 1xMISS |                                             - |    4255
  10 |     59861 |           [1L] 1xHIT |      59906 |               [1L] 1xMISS |                                             - |    3706
  11 |     64162 |           [1L] 1xHIT |      64632 |               [1L] 1xMISS |                                             - |    4173
  12 |     68930 |           [1L] 1xHIT |      68975 |               [1L] 1xMISS |                                             - |    3787
  13 |     73312 |           [1L] 1xHIT |      73822 |               [1L] 1xMISS |                                             - |    4252
  14 |     78159 |           [1L] 1xHIT |      78204 |               [1L] 1xMISS |                                             - |    3705
  15 |     82459 |           [1L] 1xHIT |      82928 |               [1L] 1xMISS |                                             - |    4210
  16 |     87264 |           [1L] 1xHIT |      87309 |               [1L] 1xMISS |                                             - |    3745
  17 |     91604 |           [1L] 1xHIT |      92074 |               [1L] 1xMISS |                                             - |    4212
  18 |     96411 |           [1L] 1xHIT |      96456 |               [1L] 1xMISS |                                             - |    3746
  19 |    100752 |           [1L] 1xHIT |     101222 |               [1L] 1xMISS |                                             - |    4215
  20 |    105562 |           [1L] 1xHIT |     105607 |               [1L] 1xMISS |                                             - |    3746
  21 |    109903 |           [1L] 1xHIT |     110414 |               [1L] 1xMISS |                                             - |    4255
  22 |    114753 |           [1L] 1xHIT |     114798 |               [1L] 1xMISS |                                             - |    3748
  23 |    119096 |           [1L] 1xHIT |     119566 |               [1L] 1xMISS |                                             - |    4173
  24 |    123864 |           [1L] 1xHIT |     123909 |               [1L] 1xMISS |                                             - |    3788
  25 |    128247 |           [1L] 1xHIT |     128717 |               [1L] 1xMISS |                                             - |    4132
  26 |    132974 |           [1L] 1xHIT |     133019 |               [1L] 1xMISS |                                             - |    3788
  27 |    137357 |           [1L] 1xHIT |     137827 |               [1L] 1xMISS |                                             - |    4214
  28 |    142166 |           [1L] 1xHIT |     142211 |               [1L] 1xMISS |                                             - |    3747
  29 |    146508 |           [1L] 1xHIT |     147019 |               [1L] 1xMISS |                                             - |    4255
  30 |    151358 |           [1L] 1xHIT |     151403 |               [1L] 1xMISS |                                             - |    3748
  31 |    155701 |           [1L] 1xHIT |     156212 |               [1L] 1xMISS |                                             - |    4256
  32 |    160552 |           [1L] 1xHIT |     160597 |               [1L] 1xMISS |                                             - |    3747
  33 |    164894 |           [1L] 1xHIT |     165364 |               [1L] 1xMISS |                                             - |    4173
  34 |    169662 |           [1L] 1xHIT |     169707 |               [1L] 1xMISS |                                             - |    3787
  35 |    174044 |           [1L] 1xHIT |     174554 |               [1L] 1xMISS |                                             - |    4252
  36 |    178891 |           [1L] 1xHIT |     178936 |               [1L] 1xMISS |                                             - |    3787
  37 |    183273 |           [1L] 1xHIT |     183783 |               [1L] 1xMISS |                                             - |    4210
  38 |    188078 |           [1L] 1xHIT |     188123 |               [1L] 1xMISS |                                             - |    3786
  39 |    192459 |           [1L] 1xHIT |     192970 |               [1L] 1xMISS |                                             - |    4255
  40 |    197309 |           [1L] 1xHIT |     197354 |               [1L] 1xMISS |                                             - |    3787
  41 |    201691 |           [1L] 1xHIT |     202160 |               [1L] 1xMISS |                                             - |    4211
  42 |    206497 |           [1L] 1xHIT |     206542 |               [1L] 1xMISS |                                             - |    3787
  43 |    210879 |           [1L] 1xHIT |     211348 |               [1L] 1xMISS |                                             - |    4169
  44 |    215643 |           [1L] 1xHIT |     215688 |               [1L] 1xMISS |                                             - |    3786
  45 |    220024 |           [1L] 1xHIT |     220535 |               [1L] 1xMISS |                                             - |    4213
  46 |    224832 |           [1L] 1xHIT |     224877 |               [1L] 1xMISS |                                             - |    3787
  47 |    229214 |           [1L] 1xHIT |     229725 |               [1L] 1xMISS |                                             - |    4255
  48 |    234064 |           [1L] 1xHIT |     234109 |               [1L] 1xMISS |                                             - |    3789
  49 |    238448 |           [1L] 1xHIT |     238959 |               [1L] 1xMISS |                                             - |    4214
  50 |    243257 |           [1L] 1xHIT |     243302 |               [1L] 1xMISS |                                             - |    3789
  51 |    247641 |           [1L] 1xHIT |     248152 |               [1L] 1xMISS |                                             - |    4173
  52 |    252409 |           [1L] 1xHIT |     252454 |               [1L] 1xMISS |                                             - |    3705
  53 |    256709 |           [1L] 1xHIT |     257220 |               [1L] 1xMISS |                                             - |    4255
  54 |    261559 |           [1L] 1xHIT |     261604 |               [1L] 1xMISS |                                             - |    3789
  55 |    265943 |           [1L] 1xHIT |     266454 |               [1L] 1xMISS |                                             - |    4214
  56 |    270752 |           [1L] 1xHIT |     270797 |               [1L] 1xMISS |                                             - |    3747
  57 |    275094 |           [1L] 1xHIT |     275563 |               [1L] 1xMISS |                                             - |    4211
  58 |    279900 |           [1L] 1xHIT |     279945 |               [1L] 1xMISS |                                             - |    3706
  59 |    284201 |           [1L] 1xHIT |     284711 |               [1L] 1xMISS |                                             - |    4169
  60 |    288965 |           [1L] 1xHIT |     289010 |               [1L] 1xMISS |                                             - |    3745
  61 |    293305 |           [1L] 1xHIT |     293815 |               [1L] 1xMISS |                                             - |    4211
  62 |    298111 |           [1L] 1xHIT |     298156 |               [1L] 1xMISS |                                             - |    3787
  63 |    302493 |           [1L] 1xHIT |     303004 |               [1L] 1xMISS |                                             - |    4214
  64 |    307302 |           [1L] 1xHIT |     307347 |               [1L] 1xMISS |                                             - |    3747
  65 |    311644 |           [1L] 1xHIT |     312155 |               [1L] 1xMISS |                                             - |    4173
  66 |    316412 |           [1L] 1xHIT |     316457 |               [1L] 1xMISS |                                             - |    3788
  67 |    320795 |           [1L] 1xHIT |     321265 |               [1L] 1xMISS |                                             - |    4214
  68 |    325604 |           [1L] 1xHIT |     325649 |               [1L] 1xMISS |                                             - |    3747
  69 |    329946 |           [1L] 1xHIT |     330457 |               [1L] 1xMISS |                                             - |    4255
  70 |    334796 |           [1L] 1xHIT |     334841 |               [1L] 1xMISS |                                             - |    3748
  71 |    339139 |           [1L] 1xHIT |     339609 |               [1L] 1xMISS |                                             - |    4173
  72 |    343907 |           [1L] 1xHIT |     343952 |               [1L] 1xMISS |                                             - |    3747
  73 |    348249 |           [1L] 1xHIT |     348760 |               [1L] 1xMISS |                                             - |    4255
  74 |    353099 |           [1L] 1xHIT |     353144 |               [1L] 1xMISS |                                             - |    3788
  75 |    357482 |           [1L] 1xHIT |     357951 |               [1L] 1xMISS |                                             - |    4131
  76 |    362208 |           [1L] 1xHIT |     362253 |               [1L] 1xMISS |                                             - |    3789
  77 |    366592 |           [1L] 1xHIT |     367102 |               [1L] 1xMISS |                                             - |    4211
  78 |    371398 |           [1L] 1xHIT |     371443 |               [1L] 1xMISS |                                             - |    3746
  79 |    375739 |           [1L] 1xHIT |     376208 |               [1L] 1xMISS |                                             - |    4169
  80 |    380503 |           [1L] 1xHIT |     380548 |               [1L] 1xMISS |                                             - |    3786
  81 |    384884 |           [1L] 1xHIT |     385354 |               [1L] 1xMISS |                                             - |    4212
  82 |    389691 |           [1L] 1xHIT |     389736 |               [1L] 1xMISS |                                             - |    3746
  83 |    394032 |           [1L] 1xHIT |     394502 |               [1L] 1xMISS |                                             - |    4215
  84 |    398842 |           [1L] 1xHIT |     398887 |               [1L] 1xMISS |                                             - |    3746
  85 |    403183 |           [1L] 1xHIT |     403694 |               [1L] 1xMISS |                                             - |    4255
  86 |    408033 |           [1L] 1xHIT |     408078 |               [1L] 1xMISS |                                             - |    3789
  87 |    412417 |           [1L] 1xHIT |     412927 |               [1L] 1xMISS |                                             - |    4211
  88 |    417223 |           [1L] 1xHIT |     417268 |               [1L] 1xMISS |                                             - |    3746
  89 |    421564 |           [1L] 1xHIT |     422033 |               [1L] 1xMISS |                                             - |    4210
