label,ipc,vs_b1_pct,accuracy,useful,useless,rfail,throttled,config
B1,1.8807,0,45.77,15972,18922,36468,1605,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=0 tc_mshr_thr=80 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
B2,1.8799,0,44.00,15476,19697,37779,0,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=0 tc_mshr_thr=0 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
S1a,1.8807,0,46.57,15872,18209,35531,3341,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=1 tc_mshr_thr=80 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
S1b,1.8850,0,46.63,15468,17706,37009,2716,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=1 tc_mshr_thr=80 tc_mshr_lo=60 tc_mshr_hi=80 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
S1c,1.8797,0,48.63,15115,15965,33841,8445,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=1 tc_mshr_thr=80 tc_mshr_lo=30 tc_mshr_hi=70 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
S1d,1.8828,0,46.33,15593,18061,37755,1371,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=1 tc_mshr_thr=80 tc_mshr_lo=70 tc_mshr_hi=95 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
S2a,1.8711,0,45.13,15222,18509,36607,3225,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=2 tc_mshr_thr=0 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=4 tc_cooldown=0 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
S2b,1.8815,0,45.17,15768,19141,37296,507,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=2 tc_mshr_thr=0 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=8 tc_cooldown=0 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
S2c,1.8799,0,44.00,15476,19697,37779,2,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=2 tc_mshr_thr=0 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=16 tc_cooldown=0 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
S2d,1.8815,0,45.17,15768,19141,37296,507,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=2 tc_mshr_thr=80 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=8 tc_cooldown=0 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
S3a,1.8833,0,46.71,16155,18434,36695,1096,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=3 tc_mshr_thr=80 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
