label,ipc,vs_b1_pct,accuracy,data_misses,coverage,useful,useless,rfail,throttled,mode,config
A15_50_M40_85,1.8858,0.27,45.86,71497,36.96,15610,18430,37396,1282,3,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=3 tc_mshr_thr=80 tc_mshr_lo=40 tc_mshr_hi=85 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=15 tc_acc_hi=50 pt_scope=0 spec_stride=0"
A20_40_M40_85,1.8858,0.27,45.86,71497,36.96,15610,18430,37396,1282,3,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=3 tc_mshr_thr=80 tc_mshr_lo=40 tc_mshr_hi=85 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=20 tc_acc_hi=40 pt_scope=0 spec_stride=0"
A20_50_M30_75,1.8804,-0.02,46.33,71497,36.97,15559,18025,37177,1791,3,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=3 tc_mshr_thr=80 tc_mshr_lo=30 tc_mshr_hi=75 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=20 tc_acc_hi=50 pt_scope=0 spec_stride=0"
A20_50_M50_90,1.8833,0.14,46.71,71084,37.33,16155,18434,36695,1096,3,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=3 tc_mshr_thr=80 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=20 tc_acc_hi=50 pt_scope=0 spec_stride=0"
A25_55_M45_85,1.8858,0.27,45.86,71497,36.96,15610,18430,37396,1282,3,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=3 tc_mshr_thr=80 tc_mshr_lo=45 tc_mshr_hi=85 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=25 tc_acc_hi=55 pt_scope=0 spec_stride=0"
A30_60_M40_80,1.8807,0.00,45.77,71266,37.18,15972,18922,36468,1605,3,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=3 tc_mshr_thr=80 tc_mshr_lo=40 tc_mshr_hi=80 tc_queue_cap=0 tc_cooldown=0 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
T40C200,1.8884,0.41,52.86,72280,36.28,15309,13654,31184,13627,4,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=4 tc_mshr_thr=40 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=0 tc_cooldown=200 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
T50C100,1.8908,0.54,49.30,71857,36.65,15594,16039,33435,8074,4,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=4 tc_mshr_thr=50 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=0 tc_cooldown=100 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
T50C200,1.8851,0.23,49.49,71880,36.64,15573,15897,33062,8655,4,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=4 tc_mshr_thr=50 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=0 tc_cooldown=200 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
T50C300,1.8892,0.45,50.60,71866,36.64,15824,15448,32422,9219,4,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=4 tc_mshr_thr=50 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=0 tc_cooldown=300 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
T55C150,1.8880,0.39,47.75,71784,36.72,15371,16820,34575,6361,4,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=4 tc_mshr_thr=55 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=0 tc_cooldown=150 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
T55C200,1.8878,0.38,47.45,71702,36.79,15814,17517,33443,6515,4,"cd_fifo=20 ct_size=32 tt_size=8 ist_ipt=64 ist_dist=1 ist_conf=2 prb_cap=1024 tc_mode=4 tc_mshr_thr=55 tc_mshr_lo=50 tc_mshr_hi=90 tc_queue_cap=0 tc_cooldown=200 tc_acc_lo=30 tc_acc_hi=60 pt_scope=0 spec_stride=0"
