=== Warp 3, IMA region (126 iterations) ===

iter | idx_cycle |               idx_L1 | data_cycle |                   data_L1 |                                 grasp_summary | latency
------------------------------------------------------------------------------------------------------------------------------------------
   0 |    542814 |        [19L] 19xMISS |     546634 | [17L] 14xMISS,2xHIT,1xHIT_RES |                                             - |    5833
   1 |    549488 | [12L] 7xHIT,3xHIT_RES,2xMISS |     550097 |        [12L] 6xHIT,6xMISS | IDX_ENQx12; IDX_INJx12; FILL_Dx12; L1_HITx10; L1_MISSx10; DAT_ENQx9; DAT_INJx8; CT_HIT; CD |    1731
   2 |    552046 |           [5L] 5xHIT |     552093 |                [4L] 4xHIT | L1_HITx7; IDX_ENQx5; IDX_INJx5; FILL_Dx5; DAT_ENQx3; DAT_INJx3; CT_HIT; L1_MISS; CD |      48
   3 |    552731 |  [17L] 15xHIT,2xMISS |     553355 | [17L] 8xMISS,8xHIT,1xHIT_RES |                                      CT_INSx4 |    7202
   4 |    560550 |         [14L] 14xHIT |     561077 |       [14L] 10xMISS,4xHIT | L1_HITx61; IDX_ENQx56; IDX_INJx56; FILL_Dx56; DAT_ENQx48; DAT_INJx47; L1_MISSx42; CT_HITx4; STR_UPDx4; STR_CONVx4; CDx4 |    6610
   5 |    567981 |         [12L] 12xHIT |     568032 |              [12L] 12xHIT | L1_HITx59; IDX_ENQx48; IDX_INJx48; FILL_Dx48; DAT_ENQx28; DAT_INJx27; L1_MISSx16; CT_HITx4; STR_UPDx4; CDx4 |    2000
   6 |    570583 |           [7L] 7xHIT |     570632 |                [7L] 7xHIT | L1_HITx36; IDX_ENQx28; IDX_INJx28; FILL_Dx28; DAT_ENQx16; DAT_INJx16; L1_MISSx8; CT_HITx4; STR_UPDx4; CDx4 |    1974
   7 |    573160 |           [4L] 4xHIT |     573206 |                [4L] 4xHIT | IDX_ENQx16; IDX_INJx16; FILL_Dx16; L1_HITx15; L1_MISSx5; CT_HITx4; STR_UPDx4; DAT_ENQx4; DAT_INJx4; CDx4 |     857
   8 |    574613 |           [1L] 1xHIT |     574658 |                [1L] 1xHIT | CT_HITx4; STR_UPDx4; IDX_ENQx4; IDX_INJx4; FILL_Dx4; CDx3; L1_HITx2; L1_MISSx2 |     303
   9 |    606036 |        [17L] 17xMISS |          0 |                       N/A |                                             - |     N/A
  10 |    607653 |          [3L] 3xMISS |     616519 |   [20L] 19xMISS,1xHIT_RES |                                             - |   15612
  11 |    633525 |        [14L] 14xMISS |     634189 | [13L] 9xMISS,2xHIT_RES,2xHIT |                                        CT_HIT |    3362
  12 |    638863 | [7L] 4xMISS,2xHIT_RES,1xHIT |     639127 |         [7L] 6xMISS,1xHIT | L1_MISSx8; IDX_ENQx7; IDX_INJx7; FILL_Dx7; DAT_ENQx3; DAT_INJx3; L1_HITx2; CT_HIT |    2736
  13 |    643703 |        [16L] 16xMISS |     644622 |       [16L] 11xMISS,5xHIT |                                      CT_HITx2 |   12766
  14 |    657298 |    [8L] 6xHIT,2xMISS |     658852 |         [8L] 6xMISS,2xHIT | IDX_ENQx16; IDX_INJx16; FILL_Dx14; L1_MISSx12; DAT_ENQx8; DAT_INJx8; L1_HITx8; CT_HITx4; L1_RFAILx4; STR_UPD; STR_CONV |   14874
  15 |    675011 |           [5L] 5xHIT |     676606 |         [5L] 3xMISS,2xHIT | IDX_ENQx20; IDX_INJx20; FILL_Dx15; L1_HITx15; L1_MISSx6; DAT_ENQx6; DAT_INJx6; L1_RFAILx5; CT_HITx4; STR_UPD |   12679
  16 |    688311 |           [2L] 2xHIT |     688362 |                [2L] 2xHIT | L1_HITx9; IDX_ENQx8; IDX_INJx8; FILL_Dx6; CT_HITx4; DAT_ENQx4; DAT_INJx4; L1_MISSx3 |     526
  17 |    688891 |           [1L] 1xHIT |     688938 |                [1L] 1xHIT | CT_HITx4; IDX_ENQx4; IDX_INJx4; L1_MISSx4; FILL_Dx2 |     333
  18 |    689292 |           [1L] 1xHIT |     689461 |                [1L] 1xHIT | FILL_Dx8; L1_HITx7; CT_HITx4; IDX_ENQx4; IDX_INJx4; DAT_ENQx4; DAT_INJx4; L1_MISS |    1201
  19 |    741900 |        [11L] 11xMISS |          0 |                       N/A |                                             - |     N/A
  20 |    742647 |         [1L] 1xRFAIL |          0 |                       N/A |                                             - |     N/A
  21 |    742948 |          [7L] 7xMISS |     751070 |             [18L] 18xMISS |                                             - |   14258
  22 |    766985 |          [9L] 9xMISS |     767655 |               [9L] 9xMISS |                                        CT_HIT |    2173
  23 |    769972 |    [2L] 1xMISS,1xHIT |     771925 |                [2L] 2xHIT | L1_MISSx3; IDX_ENQx2; IDX_INJx2; FILL_Dx2; DAT_ENQx2; DAT_INJx2; CT_HIT; L1_HIT |    1953
  24 |    772010 |        [14L] 14xMISS |     773674 |       [14L] 12xMISS,2xHIT |                                             - |   15735
  25 |    788358 |    [9L] 6xHIT,3xMISS |     788407 | [9L] 7xMISS,1xHIT_RES,1xHIT |                                      CT_HITx4 |   15377
  26 |    804573 |           [7L] 7xHIT |     806332 |         [7L] 4xHIT,3xMISS | IDX_ENQx28; IDX_INJx28; FILL_Dx24; L1_HITx16; L1_MISSx15; DAT_ENQx7; DAT_INJx7; CT_HITx4; L1_RFAILx4; STR_UPD; STR_CONV |   15846
  27 |    821252 |           [2L] 2xHIT |     821297 |                [2L] 2xHIT | IDX_ENQx8; IDX_INJx8; FILL_Dx8; L1_HITx6; CT_HITx5; L1_MISSx2 |     316
  28 |    829329 | [20L] 11xHIT_RES,9xMISS |     832116 |   [18L] 17xMISS,1xHIT_RES | L1_MISSx31; IDX_ENQx20; IDX_INJx20; FILL_Dx17; DAT_ENQx14; DAT_INJx14; L1_RFAILx3; CT_HIT |    5359
  29 |    835763 |           [9L] 9xHIT |     835810 |                [7L] 7xHIT | IDX_ENQx9; IDX_INJx9; L1_HITx9; FILL_Dx9; DAT_ENQx9; DAT_INJx9; L1_MISSx8; CT_HIT; L1_RFAIL |      48
  30 |    837173 | [25L] 22xMISS,3xHIT_RES |     837220 | [25L] 15xMISS,9xHIT,1xHIT_RES | IDX_ENQx105; IDX_INJx105; FILL_Dx73; L1_MISSx69; L1_RFAILx40; DAT_ENQx37; DAT_INJx25; L1_HITx21; CT_HITx5; STR_UPD |   36741
  31 |    875749 |  [18L] 12xHIT,6xMISS |     879598 | [18L] 8xHIT,8xMISS,2xHIT_RES | IDX_ENQx72; IDX_INJx72; L1_RFAILx47; L1_MISSx28; FILL_Dx25; DAT_ENQx8; CT_HITx4; DAT_INJx4; STR_UPD; L1_HIT |   28305
  32 |    907351 |         [12L] 12xHIT |     910097 | [12L] 7xMISS,4xHIT,1xHIT_RES | IDX_ENQx48; IDX_INJx48; L1_MISSx40; FILL_Dx35; DAT_ENQx16; DAT_INJx16; L1_RFAILx14; L1_HITx10; CT_HITx4 |   18806
  33 |    926965 |           [8L] 8xHIT |     927012 |         [8L] 5xMISS,3xHIT | IDX_ENQx32; IDX_INJx32; FILL_Dx24; L1_HITx22; L1_MISSx19; DAT_ENQx9; DAT_INJx9; CT_HITx4 |    6486
