WARNING: iteration count mismatch: baseline=4043, grasp=8407. Showing min(4043).
=== Warp 3, Baseline vs GRASP (4043 iterations) ===

iter | base_idx_cyc |     base_idx_L1 | base_data_cyc |         base_data_L1 | grasp_idx_cyc |    grasp_idx_L1 | grasp_data_cyc |        grasp_data_L1 | speedup
----------------------------------------------------------------------------------------------------------------------------------------------------------------
   0 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   1 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   2 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   3 |       541447 |     [4L] 4xMISS |        541704 | [32L] 24xHIT_RES,8xMISS |        541447 |     [4L] 4xMISS |         541704 | [32L] 24xHIT_RES,8xMISS |   1.00x
   4 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   5 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   6 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   7 |       542814 |     [4L] 4xMISS |             0 |                  N/A |        542814 |     [4L] 4xMISS |              0 |                  N/A |     N/A
   8 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
   9 |       542815 |     [2L] 2xMISS |             0 |                  N/A |        542815 |     [2L] 2xMISS |              0 |                  N/A |     N/A
  10 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  11 |       542816 |     [2L] 2xMISS |             0 |                  N/A |        542816 |     [2L] 2xMISS |              0 |                  N/A |     N/A
  12 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  13 |       542817 |     [2L] 2xMISS |             0 |                  N/A |        542817 |     [2L] 2xMISS |              0 |                  N/A |     N/A
  14 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  15 |       542818 |     [2L] 2xMISS |             0 |                  N/A |        542818 |     [2L] 2xMISS |              0 |                  N/A |     N/A
  16 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  17 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  18 |       542819 |     [3L] 3xMISS |             0 |                  N/A |        542819 |     [3L] 3xMISS |              0 |                  N/A |     N/A
  19 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  20 |       542820 |     [2L] 2xMISS |             0 |                  N/A |        542820 |     [2L] 2xMISS |              0 |                  N/A |     N/A
  21 |       542821 |     [1L] 1xMISS |             0 |                  N/A |        542821 |     [1L] 1xMISS |              0 |                  N/A |     N/A
  22 |       542822 |     [1L] 1xMISS |        546634 | [17L] 14xMISS,2xHIT,1xHIT_RES |        542822 |     [1L] 1xMISS |         546634 | [17L] 14xMISS,2xHIT,1xHIT_RES |   1.00x
  23 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  24 |       549488 | [2L] 1xHIT,1xMISS |             0 |                  N/A |        549488 | [2L] 1xHIT,1xMISS |              0 |                  N/A |     N/A
  25 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  26 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  27 |       549489 | [3L] 2xHIT,1xMISS |             0 |                  N/A |        549489 | [3L] 2xHIT,1xMISS |              0 |                  N/A |     N/A
  28 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  29 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  30 |       549490 | [3L] 2xMISS,1xHIT |             0 |                  N/A |        549490 | [3L] 2xHIT_RES,1xHIT |              0 |                  N/A |     N/A
  31 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  32 |       549491 |      [2L] 2xHIT |             0 |                  N/A |        549491 |      [2L] 2xHIT |              0 |                  N/A |     N/A
  33 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  34 |       549492 | [2L] 1xHIT,1xMISS |        550027 | [12L] 6xMISS,4xHIT,2xHIT_RES |        549492 | [2L] 1xHIT,1xHIT_RES |         550097 |   [12L] 6xHIT,6xMISS |   0.67x
  35 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  36 |       551464 |      [2L] 2xHIT |             0 |                  N/A |        552046 |      [2L] 2xHIT |              0 |                  N/A |     N/A
  37 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  38 |       551465 |      [2L] 2xHIT |             0 |                  N/A |        552047 |      [2L] 2xHIT |              0 |                  N/A |     N/A
  39 |       551466 |      [1L] 1xHIT |        551513 |    [4L] 2xHIT,2xMISS |        552048 |      [1L] 1xHIT |         552093 |           [4L] 4xHIT |  12.63x
  40 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  41 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  42 |       552681 | [3L] 2xMISS,1xHIT |             0 |                  N/A |        552731 | [3L] 2xMISS,1xHIT |              0 |                  N/A |     N/A
  43 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  44 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  45 |       552682 | [3L] 2xHIT,1xMISS |             0 |                  N/A |        552732 | [3L] 2xHIT,1xMISS |              0 |                  N/A |     N/A
  46 |       552683 |      [1L] 1xHIT |             0 |                  N/A |        552733 |      [1L] 1xHIT |              0 |                  N/A |     N/A
  47 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  48 |       552684 | [2L] 1xHIT,1xMISS |             0 |                  N/A |        552734 | [2L] 1xHIT,1xMISS |              0 |                  N/A |     N/A
  49 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  50 |       552685 |      [2L] 2xHIT |             0 |                  N/A |        552735 |      [2L] 2xHIT |              0 |                  N/A |     N/A
  51 |       552686 |      [1L] 1xHIT |             0 |                  N/A |        552736 |      [1L] 1xHIT |              0 |                  N/A |     N/A
  52 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
  53 |            0 |             N/A |             0 |                  N/A |             0 |             N/A |              0 |                  N/A |     N/A
