=== Warp 3, IMA region (8407 iterations) ===

iter | idx_cycle |               idx_L1 | data_cycle |                   data_L1 |                                 grasp_summary | latency
------------------------------------------------------------------------------------------------------------------------------------------
   0 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   1 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   2 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   3 |    541447 |          [4L] 4xMISS |     541704 |   [32L] 24xHIT_RES,8xMISS |                                             - |    1305
   4 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   5 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   6 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   7 |    542814 |          [4L] 4xMISS |          0 |                       N/A |                                             - |     N/A
   8 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   9 |    542815 |          [2L] 2xMISS |          0 |                       N/A |                                             - |     N/A
  10 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  11 |    542816 |          [2L] 2xMISS |          0 |                       N/A |                                             - |     N/A
  12 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  13 |    542817 |          [2L] 2xMISS |          0 |                       N/A |                                             - |     N/A
  14 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  15 |    542818 |          [2L] 2xMISS |          0 |                       N/A |                                             - |     N/A
  16 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  17 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  18 |    542819 |          [3L] 3xMISS |          0 |                       N/A |                                             - |     N/A
  19 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  20 |    542820 |          [2L] 2xMISS |          0 |                       N/A |                                             - |     N/A
  21 |    542821 |          [1L] 1xMISS |          0 |                       N/A |                                             - |     N/A
  22 |    542822 |          [1L] 1xMISS |     546634 | [17L] 14xMISS,2xHIT,1xHIT_RES |                                             - |    5825
  23 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  24 |    549488 |    [2L] 1xHIT,1xMISS |          0 |                       N/A |                            IDX_ENQx12; CT_HIT |     N/A
  25 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  26 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  27 |    549489 |    [3L] 2xHIT,1xMISS |          0 |                       N/A |                  IDX_INJx4; L1_HITx3; L1_MISS |     N/A
  28 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  29 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  30 |    549490 | [3L] 2xHIT_RES,1xHIT |          0 |                       N/A | IDX_INJx4; FILL_Dx3; DAT_ENQx2; L1_MISSx2; L1_HITx2 |     N/A
  31 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  32 |    549491 |           [2L] 2xHIT |          0 |                       N/A | IDX_INJx4; FILL_Dx2; DAT_ENQx2; L1_HITx2; L1_MISSx2 |     N/A
  33 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  34 |    549492 | [2L] 1xHIT,1xHIT_RES |     550097 |        [12L] 6xHIT,6xMISS | DAT_INJx8; FILL_Dx7; DAT_ENQx5; L1_MISSx5; L1_HITx3; CD |    1727
  35 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  36 |    552046 |           [2L] 2xHIT |          0 |                       N/A |                             IDX_ENQx5; CT_HIT |     N/A
  37 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  38 |    552047 |           [2L] 2xHIT |          0 |                       N/A |                           IDX_INJx4; L1_HITx4 |     N/A
  39 |    552048 |           [1L] 1xHIT |     552093 |                [4L] 4xHIT | FILL_Dx5; DAT_ENQx3; DAT_INJx3; L1_HITx3; IDX_INJ; L1_MISS; CD |      46
  40 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  41 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  42 |    552731 |    [3L] 2xMISS,1xHIT |          0 |                       N/A |                                             - |     N/A
  43 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  44 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  45 |    552732 |    [3L] 2xHIT,1xMISS |          0 |                       N/A |                                             - |     N/A
  46 |    552733 |           [1L] 1xHIT |          0 |                       N/A |                                             - |     N/A
  47 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  48 |    552734 |    [2L] 1xHIT,1xMISS |          0 |                       N/A |                                             - |     N/A
  49 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  50 |    552735 |           [2L] 2xHIT |          0 |                       N/A |                                             - |     N/A
  51 |    552736 |           [1L] 1xHIT |          0 |                       N/A |                                             - |     N/A
  52 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  53 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  54 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  55 |    552737 |    [4L] 3xMISS,1xHIT |          0 |                       N/A |                                             - |     N/A
  56 |    552738 |           [1L] 1xHIT |     553355 |       [17L] 12xHIT,5xMISS |                                        CT_INS |    1410
  57 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  58 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  59 |    554962 |           [3L] 3xHIT |          0 |                       N/A |                                             - |     N/A
  60 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  61 |    554963 |    [2L] 1xHIT,1xMISS |          0 |                       N/A |                                             - |     N/A
  62 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  63 |    554964 |           [2L] 2xHIT |          0 |                       N/A |                                             - |     N/A
  64 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  65 |    554965 |           [2L] 2xHIT |          0 |                       N/A |                                             - |     N/A
  66 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  67 |    554966 |           [2L] 2xHIT |          0 |                       N/A |                                             - |     N/A
  68 |    554967 |           [1L] 1xHIT |          0 |                       N/A |                                             - |     N/A
  69 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  70 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  71 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  72 |    554968 |           [4L] 4xHIT |          0 |                       N/A |                                             - |     N/A
  73 |    554969 |           [1L] 1xHIT |     555544 | [17L] 8xMISS,7xHIT,2xHIT_RES |                                        CT_INS |    1267
  74 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  75 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  76 |    556846 |    [3L] 2xMISS,1xHIT |          0 |                       N/A |                                             - |     N/A
  77 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  78 |    556847 |           [2L] 2xHIT |          0 |                       N/A |                                             - |     N/A
  79 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
