=== Warp 6, IMA region (76 iterations) ===

iter | idx_cycle |               idx_L1 | data_cycle |                   data_L1 |                                 grasp_summary | latency
------------------------------------------------------------------------------------------------------------------------------------------
   0 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   1 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   2 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   3 |      9757 |          [4L] 4xMISS |      10271 |   [32L] 23xHIT_RES,9xMISS |                                             - |    1001
   4 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   5 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   6 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   7 |     11005 |          [4L] 4xMISS |      11485 |   [32L] 16xHIT_RES,16xHIT |                                        CT_HIT |     498
   8 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
   9 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  10 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  11 |     12094 |  [4L] 3xRFAIL,1xMISS |          0 |                       N/A |                    IDX_ENQx4; CT_HIT; STR_UPD |     N/A
  12 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  13 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  14 |     12095 |         [3L] 3xRFAIL |          0 |                       N/A |                         IDX_INJx4; L1_RFAILx4 |     N/A
  15 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  16 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  17 |     12096 |  [3L] 2xRFAIL,1xMISS |          0 |                       N/A |                                             - |     N/A
  18 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  19 |     12097 |         [2L] 2xRFAIL |          0 |                       N/A |                                             - |     N/A
  20 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  21 |     12098 |  [2L] 1xMISS,1xRFAIL |          0 |                       N/A |                                             - |     N/A
  22 |     12099 |         [1L] 1xRFAIL |          0 |                       N/A |                                             - |     N/A
  23 |     12100 |          [1L] 1xMISS |      12626 |    [32L] 28xHIT,4xHIT_RES |                                             - |     544
  24 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  25 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  26 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  27 |     13103 |          [4L] 4xMISS |      13632 |              [32L] 32xHIT | DAT_ENQx16; DAT_INJx16; L1_HITx16; IDX_ENQx4; IDX_INJx4; L1_MISSx2; L1_RFAILx2; FILL_Dx2; CT_HIT; STR_UPD |     548
  28 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  29 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  30 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  31 |     13719 |    [4L] 2xHIT,2xMISS |      14213 |              [32L] 32xHIT | DAT_ENQx32; DAT_INJx32; L1_HITx32; IDX_ENQx4; IDX_INJx4; L1_MISSx4; FILL_Dx4; CT_HIT; STR_UPD |     512
  32 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  33 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  34 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  35 |     14299 |           [4L] 4xHIT |      14344 |              [32L] 32xHIT | IDX_ENQx4; IDX_INJx4; L1_MISSx4; CT_HIT; STR_UPD |      63
  36 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  37 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  38 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  39 |     14432 |       [4L] 4xHIT_RES |      14835 |    [32L] 30xHIT,2xHIT_RES | DAT_ENQx64; DAT_INJx64; L1_HITx49; L1_MISSx19; FILL_Dx8; IDX_ENQx4; IDX_INJx4; CT_HIT; STR_UPD |     421
  40 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  41 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  42 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  43 |     15099 |           [4L] 4xHIT |      15157 |              [32L] 32xHIT | IDX_ENQx4; IDX_INJx4; L1_MISSx4; CT_HIT; STR_UPD |      77
  44 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  45 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  46 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  47 |     15261 |       [4L] 4xHIT_RES |      15594 |              [32L] 32xHIT | DAT_ENQx64; DAT_INJx64; L1_HITx46; L1_MISSx22; FILL_Dx8; IDX_ENQx4; IDX_INJx4; CT_HIT; STR_UPD |     351
  48 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  49 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  50 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  51 |     15720 |           [4L] 4xHIT |      15799 |   [32L] 20xHIT,12xHIT_RES | DAT_ENQx32; DAT_INJx32; L1_HITx21; L1_MISSx15; IDX_ENQx4; IDX_INJx4; FILL_Dx4; CT_HIT; STR_UPD |      97
  52 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  53 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  54 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  55 |     16229 |           [4L] 4xHIT |      16343 |    [32L] 28xHIT,4xHIT_RES | IDX_ENQx4; IDX_INJx4; L1_MISSx4; CT_HIT; STR_UPD |     133
  56 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  57 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  58 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  59 |     16620 |       [4L] 4xHIT_RES |      16793 |   [32L] 22xHIT,10xHIT_RES | DAT_ENQx64; DAT_INJx64; L1_HITx40; L1_MISSx28; FILL_Dx8; IDX_ENQx4; IDX_INJx4; CT_HIT; STR_UPD |     192
  60 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  61 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  62 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  63 |     17322 |           [4L] 4xHIT |      17419 |    [32L] 29xHIT,3xHIT_RES | IDX_ENQx4; IDX_INJx4; L1_MISSx4; CT_HIT; STR_UPD |     115
  64 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  65 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  66 |         0 |                  N/A |          0 |                       N/A |                                             - |     N/A
  67 |     17563 |       [4L] 4xHIT_RES |      17851 |    [32L] 27xHIT,5xHIT_RES | DAT_ENQx64; DAT_INJx64; L1_HITx59; L1_MISSx9; FILL_Dx8; IDX_ENQx4; IDX_INJx4; CT_HIT; STR_UPD |     306
