id,workload,label,seq,batch,nheads,kv_heads,head_dim,page_size,M,K,N,rms_M,rms_hidden,kernel_regex,cfg_tag
F1,fa,FA-7B-s512,512,1,32,32,128,,,,,,,.*flash_fwd.*,F1_FA_7B_s512
F2,fa,FA-7B-s1k,1024,1,32,32,128,,,,,,,.*flash_fwd.*,F2_FA_7B_s1k
F3,fa,FA-7B-s2k,2048,1,32,32,128,,,,,,,.*flash_fwd.*,F3_FA_7B_s2k
F4,fa,FA-7B-s4k,4096,1,32,32,128,,,,,,,.*flash_fwd.*,F4_FA_7B_s4k
F5,fa,FA-7B-s2k-d64,2048,1,32,32,64,,,,,,,.*flash_fwd.*,F5_FA_7B_s2k_d64
F6,fa,FA-7B-s2k-B2,2048,2,32,32,128,,,,,,,.*flash_fwd.*,F6_FA_7B_s2k_B2
F7,fa,FA-7B-s2k-B4,2048,4,32,32,128,,,,,,,.*flash_fwd.*,F7_FA_7B_s2k_B4
F8,fa,FA-LLaMA3-8B-s2k,2048,1,32,8,128,,,,,,,.*flash_fwd.*,F8_FA_LLaMA3_8B_s2k
F9,fa,FA-LLaMA3-70B-s2k,2048,1,64,8,128,,,,,,,.*flash_fwd.*,F9_FA_LLaMA3_70B_s2k
F10,fa,FA-GLM4-s2k,2048,1,32,2,128,,,,,,,.*flash_fwd.*,F10_FA_GLM4_s2k
F11,fa,FA-LLaMA3-8B-s4k,4096,1,32,8,128,,,,,,,.*flash_fwd.*,F11_FA_LLaMA3_8B_s4k
D1,decode,DEC-7B-k512,512,1,32,32,128,16,,,,,,.*flashinfer.*,D1_DEC_7B_k512
D2,decode,DEC-7B-k1k,1024,1,32,32,128,16,,,,,,.*flashinfer.*,D2_DEC_7B_k1k
D3,decode,DEC-7B-k2k,2048,1,32,32,128,16,,,,,,.*flashinfer.*,D3_DEC_7B_k2k
D4,decode,DEC-7B-k4k,4096,1,32,32,128,16,,,,,,.*flashinfer.*,D4_DEC_7B_k4k
D5,decode,DEC-7B-k2k-d64,2048,1,32,32,64,16,,,,,,.*flashinfer.*,D5_DEC_7B_k2k_d64
